ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-A1-A0SD-01	3937.74	1633.42	5571.16
TCGA-A1-A0SE-01	3725.53	1802.44	5527.98
TCGA-A1-A0SH-01	4112.96	2386.5	6499.45
TCGA-A1-A0SJ-01	3541.33	1957.03	5498.36
TCGA-A1-A0SK-01	2039.76	-116.13	1923.63
TCGA-A1-A0SM-01	3665.14	2341.35	6006.49
TCGA-A1-A0SO-01	1942.53	1052.69	2995.22
TCGA-A1-A0SP-01	3478.62	3071.98	6550.6
TCGA-A2-A04N-01	3901.76	1966.47	5868.23
TCGA-A2-A04P-01	3359.41	2753.28	6112.69
TCGA-A2-A04Q-01	3917.23	4145.03	8062.27
TCGA-A2-A04R-01	3168.96	807.77	3976.73
TCGA-A2-A04T-01	2989.01	3056.76	6045.77
TCGA-A2-A04V-01	3734.6	2099.05	5833.66
TCGA-A2-A04W-01	3645.85	1982.64	5628.49
TCGA-A2-A04X-01	3329.71	3392.08	6721.79
TCGA-A2-A04Y-01	3466.14	3060.93	6527.07
TCGA-A2-A0CL-01	4115.6	4246.79	8362.39
TCGA-A2-A0CM-01	3665.46	3500.93	7166.39
TCGA-A2-A0CP-01	3993.83	2040.52	6034.35
TCGA-A2-A0CQ-01	3128.67	2431.11	5559.78
TCGA-A2-A0CS-01	3719.61	2405.61	6125.22
TCGA-A2-A0CT-01	3251.74	1572.19	4823.93
TCGA-A2-A0CU-01	3501.24	1565.53	5066.77
TCGA-A2-A0CV-01	3958.38	2890.26	6848.64
TCGA-A2-A0CW-01	2759.44	2383.82	5143.26
TCGA-A2-A0CX-01	3859.76	2894.09	6753.85
TCGA-A2-A0CZ-01	4202.49	2966.48	7168.97
TCGA-A2-A0D0-01	2036.35	2597.64	4633.99
TCGA-A2-A0D1-01	2810.99	1053.12	3864.1
TCGA-A2-A0D2-01	3639.1	3132.9	6772
TCGA-A2-A0D3-01	2995.74	2480.45	5476.19
TCGA-A2-A0D4-01	2894.37	661.12	3555.49
TCGA-A2-A0EM-01	3775.28	1943.67	5718.96
TCGA-A2-A0EN-01	4203.4	3794.82	7998.22
TCGA-A2-A0EO-01	4096.09	2865.52	6961.61
TCGA-A2-A0EQ-01	3534.83	3890.82	7425.65
TCGA-A2-A0ER-01	3107.52	1990.36	5097.89
TCGA-A2-A0ET-01	2506.03	2300.38	4806.41
TCGA-A2-A0EU-01	3479.23	1539.95	5019.18
TCGA-A2-A0EV-01	3889.36	3059.77	6949.13
TCGA-A2-A0EW-01	4035.26	2942.02	6977.28
TCGA-A2-A0EY-01	3413.4	2668.25	6081.64
TCGA-A2-A0ST-01	3727.72	4354.88	8082.6
TCGA-A2-A0SV-01	3850.46	3203.94	7054.39
TCGA-A2-A0SW-01	3737.98	3595.52	7333.5
TCGA-A2-A0SX-01	3896.28	3731.78	7628.06
TCGA-A2-A0SY-01	4000.56	3134.1	7134.67
TCGA-A2-A0T0-01	3465.31	2515.61	5980.92
TCGA-A2-A0T1-01	4128.19	3880.87	8009.05
TCGA-A2-A0T2-01	3075.07	2038.37	5113.44
TCGA-A2-A0T3-01	3237.89	1564.85	4802.74
TCGA-A2-A0T4-01	4121.62	3017.75	7139.37
TCGA-A2-A0T5-01	3517.84	2021.71	5539.55
TCGA-A2-A0T6-01	4299.39	3356.81	7656.2
TCGA-A2-A0T7-01	3865.73	2540.3	6406.03
TCGA-A2-A0YD-01	4091.38	3172.38	7263.75
TCGA-A2-A0YE-01	3222.26	1871.36	5093.61
TCGA-A2-A0YF-01	3174.75	2669.33	5844.08
TCGA-A2-A0YG-01	3101.64	1970.82	5072.45
TCGA-A2-A0YH-01	3916.08	3573.81	7489.88
TCGA-A2-A0YI-01	3865.8	3550.79	7416.59
TCGA-A2-A0YJ-01	2532.58	1602.15	4134.73
TCGA-A2-A0YK-01	4042.95	3818.83	7861.78
TCGA-A2-A0YL-01	3978.35	2662.79	6641.15
TCGA-A2-A0YM-01	3127.74	3149.56	6277.31
TCGA-A2-A0YT-01	3058	2291.56	5349.56
TCGA-A7-A0CD-01	3083.38	1200.65	4284.03
TCGA-A7-A0CE-01	2818.92	1724.82	4543.75
TCGA-A7-A0CG-01	4019.17	3269.82	7288.99
TCGA-A7-A0CH-01	3374.16	1731.24	5105.4
TCGA-A7-A0CJ-01	2779.57	1841.27	4620.85
TCGA-A7-A0DA-01	3484.13	1894.63	5378.77
TCGA-A7-A0DB-01	3810.32	2760.02	6570.34
TCGA-A7-A13D-01	2981.02	1230.18	4211.2
TCGA-A7-A13E-01	2926.43	1461.31	4387.74
