ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-3C-AAAU-01	-711.41	-906.98	-1618.39
TCGA-3C-AALI-01	122.66	511.24	633.91
TCGA-3C-AALJ-01	400.91	539.25	940.16
TCGA-3C-AALK-01	799.11	-3.53	795.58
TCGA-4H-AAAK-01	1075.36	-46.96	1028.4
TCGA-5L-AAT0-01	971.58	665.64	1637.22
TCGA-5L-AAT1-01	827.52	1455.62	2283.14
TCGA-5T-A9QA-01	-1674.49	-811.78	-2486.27
TCGA-A1-A0SB-01	-388.55	-1442.61	-1831.17
TCGA-A1-A0SD-01	770.64	-118.58	652.07
TCGA-A1-A0SE-01	507.45	-620.1	-112.65
TCGA-A1-A0SF-01	426.71	278.65	705.36
TCGA-A1-A0SG-01	543.6	28.79	572.39
TCGA-A1-A0SH-01	1473.77	-88.73	1385.04
TCGA-A1-A0SI-01	1266.2	529.58	1795.78
TCGA-A1-A0SJ-01	417.39	-341.85	75.54
TCGA-A1-A0SK-01	-1444.19	-1724.48	-3168.67
TCGA-A1-A0SM-01	792.59	-29.38	763.21
TCGA-A1-A0SN-01	773.09	587.71	1360.8
TCGA-A1-A0SO-01	-1275.66	-1030.12	-2305.78
TCGA-A1-A0SP-01	-216.6	410.25	193.65
TCGA-A1-A0SQ-01	-234.57	-309.06	-543.63
TCGA-A2-A04N-01	759.29	-316.92	442.36
TCGA-A2-A04P-01	210.06	612.75	822.81
TCGA-A2-A04Q-01	808.6	2360.18	3168.79
TCGA-A2-A04R-01	-56.75	-1053.1	-1109.85
TCGA-A2-A04T-01	-400.76	531.86	131.1
TCGA-A2-A04U-01	-358.82	-803.09	-1161.91
TCGA-A2-A04V-01	671.73	-87.84	583.89
TCGA-A2-A04W-01	521.28	-192.63	328.65
TCGA-A2-A04X-01	121.42	1133.5	1254.92
TCGA-A2-A04Y-01	252.7	750.77	1003.48
TCGA-A2-A0CK-01	380.17	122.46	502.64
TCGA-A2-A0CL-01	1291.78	2348.65	3640.43
TCGA-A2-A0CM-01	535.28	1127.66	1662.93
TCGA-A2-A0CO-01	1069.69	1356.62	2426.31
TCGA-A2-A0CP-01	953.35	-167.82	785.54
TCGA-A2-A0CQ-01	-297.98	292.46	-5.52
TCGA-A2-A0CR-01	970.94	2460.71	3431.64
TCGA-A2-A0CS-01	503.92	29.09	533.01
TCGA-A2-A0CT-01	-370.98	-614.99	-985.97
TCGA-A2-A0CU-01	113.75	-651.62	-537.87
TCGA-A2-A0CV-01	749.97	391.61	1141.58
TCGA-A2-A0CW-01	-639.02	20.51	-618.5
TCGA-A2-A0CX-01	895.49	477.76	1373.25
TCGA-A2-A0CY-01	-1117.64	-1004.53	-2122.17
TCGA-A2-A0CZ-01	1402.9	583.55	1986.45
TCGA-A2-A0D0-01	-1120.09	353.47	-766.61
TCGA-A2-A0D1-01	-438.28	-890.63	-1328.92
TCGA-A2-A0D2-01	24.72	458.37	483.08
TCGA-A2-A0D3-01	-370.54	-48.67	-419.21
TCGA-A2-A0D4-01	-529.16	-994.45	-1523.6
TCGA-A2-A0EM-01	586.58	-360.21	226.37
TCGA-A2-A0EN-01	1473.56	1633.7	3107.26
TCGA-A2-A0EO-01	1155.06	337.04	1492.1
TCGA-A2-A0EP-01	1869.06	2698.82	4567.88
TCGA-A2-A0EQ-01	180.96	1791.19	1972.15
TCGA-A2-A0ER-01	-326.4	-294.16	-620.56
TCGA-A2-A0ES-01	963.35	128.71	1092.06
TCGA-A2-A0ET-01	-836.22	-58.61	-894.82
TCGA-A2-A0EU-01	65.65	-551.43	-485.78
TCGA-A2-A0EV-01	845.97	511.23	1357.2
TCGA-A2-A0EW-01	1269.96	416.37	1686.33
TCGA-A2-A0EX-01	880.19	-99.27	780.92
TCGA-A2-A0EY-01	187.12	317.82	504.93
TCGA-A2-A0ST-01	517.36	2663.48	3180.84
TCGA-A2-A0SU-01	302.4	-94.56	207.85
TCGA-A2-A0SV-01	671.55	721.39	1392.94
TCGA-A2-A0SW-01	649.21	1168.8	1818.01
TCGA-A2-A0SX-01	769.96	1405.33	2175.29
TCGA-A2-A0SY-01	1116.28	639.4	1755.68
TCGA-A2-A0T0-01	224.7	-42.51	182.19
TCGA-A2-A0T1-01	1312.59	1649.78	2962.36
TCGA-A2-A0T2-01	-39.51	-33.56	-73.08
TCGA-A2-A0T3-01	-364.42	-954.24	-1318.66
TCGA-A2-A0T4-01	1123.82	576.88	1700.7
TCGA-A2-A0T5-01	226.23	-412.75	-186.51
TCGA-A2-A0T6-01	1606.45	844.09	2450.54
TCGA-A2-A0T7-01	616.69	-73.54	543.15
TCGA-A2-A0YC-01	587.49	40.33	627.83
TCGA-A2-A0YD-01	1403.21	682.19	2085.4
TCGA-A2-A0YE-01	-156.96	-685.07	-842.03
TCGA-A2-A0YF-01	26.57	208.33	234.9
TCGA-A2-A0YG-01	-335.88	-424.97	-760.86
TCGA-A2-A0YH-01	1041.77	1153.49	2195.27
TCGA-A2-A0YI-01	988.73	1265.78	2254.51
TCGA-A2-A0YJ-01	-745.32	-807.67	-1552.99
TCGA-A2-A0YK-01	1199.18	1564.31	2763.5
TCGA-A2-A0YL-01	790.02	96.82	886.84
TCGA-A2-A0YM-01	21.68	594.53	616.21
TCGA-A2-A0YT-01	-306.96	-375.68	-682.63
TCGA-A2-A1FV-01	66.32	-1048.11	-981.79
TCGA-A2-A1FW-01	181	-608.7	-427.7
TCGA-A2-A1FX-01	591.56	97.28	688.84
TCGA-A2-A1FZ-01	1029.35	313.26	1342.62
TCGA-A2-A1G0-01	896.74	301.52	1198.26
TCGA-A2-A1G1-01	786.04	863.39	1649.43
TCGA-A2-A1G4-01	-509.68	-338.32	-848
TCGA-A2-A1G6-01	467.93	-37.2	430.73
TCGA-A2-A259-01	611.35	335.96	947.3
TCGA-A2-A25A-01	1312.71	525.32	1838.03
TCGA-A2-A25B-01	527.55	129.23	656.78
TCGA-A2-A25C-01	586.96	-101.15	485.81
TCGA-A2-A25D-01	403.76	1381.98	1785.73
TCGA-A2-A25E-01	-1.37	-533.28	-534.65
TCGA-A2-A25F-01	2006.3	2970.6	4976.9
TCGA-A2-A3KC-01	1013.74	207.41	1221.16
TCGA-A2-A3KD-01	92.38	-240.03	-147.65
TCGA-A2-A3XS-01	-31.18	189.05	157.87
TCGA-A2-A3XT-01	119.83	1196.07	1315.9
TCGA-A2-A3XU-01	-1331.32	-1104.34	-2435.66
TCGA-A2-A3XV-01	29.14	-73.03	-43.9
TCGA-A2-A3XW-01	486.77	787.91	1274.68
TCGA-A2-A3XX-01	-77	180.69	103.7
TCGA-A2-A3XY-01	990.9	950.79	1941.69
TCGA-A2-A3XZ-01	-122.69	1344.32	1221.63
TCGA-A2-A3Y0-01	-538.28	853.18	314.91
TCGA-A2-A4RW-01	596.39	-75.56	520.84
TCGA-A2-A4RX-01	963.21	224.14	1187.35
TCGA-A2-A4RY-01	778.56	183.49	962.05
TCGA-A2-A4S0-01	-638.84	-716.3	-1355.14
TCGA-A2-A4S1-01	1468.58	1482.87	2951.45
TCGA-A2-A4S2-01	552.52	764.4	1316.92
TCGA-A2-A4S3-01	-163.58	378.12	214.55
TCGA-A7-A0CD-01	-68.85	-733.57	-802.42
TCGA-A7-A0CE-01	-522.95	-580.55	-1103.49
