ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-02-0047-01	133.89	513.41	647.3
TCGA-02-0055-01	1272.19	1282.27	2554.46
TCGA-02-2483-01	-465.15	86.9	-378.25
TCGA-02-2485-01	-714.18	-515.07	-1229.26
TCGA-02-2486-01	105.42	1661.3	1766.72
TCGA-06-0125-01	-657.32	-647.46	-1304.77
TCGA-06-0125-02	51.63	50.55	102.18
TCGA-06-0129-01	-760.95	695.79	-65.17
TCGA-06-0130-01	1257.82	2176.81	3434.63
TCGA-06-0132-01	555.33	1423.47	1978.8
TCGA-06-0138-01	234.34	846.09	1080.43
TCGA-06-0141-01	504.65	1466.92	1971.57
TCGA-06-0152-02	-32.25	944.7	912.45
TCGA-06-0156-01	-101.54	658.77	557.24
TCGA-06-0157-01	-39.83	182.27	142.44
TCGA-06-0158-01	-356.28	443.07	86.79
TCGA-06-0168-01	338.13	906.28	1244.41
TCGA-06-0171-02	1392.46	2451.18	3843.65
TCGA-06-0174-01	-791.81	-622.36	-1414.16
TCGA-06-0178-01	-440.12	434.25	-5.87
TCGA-06-0184-01	197.04	1227.58	1424.63
TCGA-06-0187-01	-318.09	402.61	84.51
TCGA-06-0190-01	704.72	994.95	1699.68
TCGA-06-0190-02	1475.56	1411.98	2887.55
TCGA-06-0210-01	-184.8	924	739.2
TCGA-06-0210-02	442.85	1278.79	1721.64
TCGA-06-0211-01	-697.64	-285.73	-983.37
TCGA-06-0211-02	224.29	979.68	1203.97
TCGA-06-0219-01	-505.04	353.55	-151.49
TCGA-06-0221-02	-846.81	-1216.59	-2063.4
TCGA-06-0238-01	-292.21	563.56	271.34
TCGA-06-0644-01	694.93	842.68	1537.61
TCGA-06-0645-01	654.17	1638.14	2292.31
TCGA-06-0646-01	14.66	755.53	770.2
TCGA-06-0649-01	414.24	952.91	1367.15
TCGA-06-0686-01	-613.7	-170.55	-784.25
TCGA-06-0743-01	-448.48	17.61	-430.87
TCGA-06-0744-01	-809.06	-339.16	-1148.22
TCGA-06-0745-01	-216.14	436.08	219.94
TCGA-06-0747-01	-1147.99	-592.5	-1740.49
TCGA-06-0749-01	-490.35	713.51	223.15
TCGA-06-0750-01	268.12	613.65	881.77
TCGA-06-0878-01	14.13	675.4	689.54
TCGA-06-0882-01	-0.32	882.89	882.57
TCGA-06-1804-01	-537.32	-387.33	-924.65
TCGA-06-2557-01	46.33	1318.65	1364.98
TCGA-06-2558-01	-182.59	-36.54	-219.12
TCGA-06-2559-01	-435.42	-138.92	-574.34
TCGA-06-2561-01	-227.28	814.99	587.71
TCGA-06-2562-01	9.17	375.12	384.29
TCGA-06-2563-01	-467.09	-168.49	-635.59
TCGA-06-2564-01	-247.15	339.71	92.56
TCGA-06-2565-01	-643.4	-254.04	-897.44
TCGA-06-2567-01	-112.17	680.43	568.26
TCGA-06-2569-01	-36.77	-1434.96	-1471.73
TCGA-06-2570-01	-298.92	487	188.08
TCGA-06-5408-01	-545.83	-258.71	-804.54
TCGA-06-5410-01	969.71	2315.39	3285.1
TCGA-06-5411-01	-353.76	-34.56	-388.32
TCGA-06-5412-01	728.17	1554.2	2282.38
TCGA-06-5413-01	341.24	588.11	929.35
TCGA-06-5414-01	-318.85	802.85	484
TCGA-06-5415-01	-747.38	-604.19	-1351.56
TCGA-06-5416-01	-1333.68	-1069.91	-2403.59
TCGA-06-5417-01	-972.91	-763.78	-1736.69
TCGA-06-5418-01	-404.08	518.25	114.17
TCGA-06-5856-01	-159.99	126.3	-33.69
TCGA-06-5858-01	-113.12	285.19	172.07
TCGA-06-5859-01	-357.4	570.43	213.03
TCGA-08-0386-01	-635.25	-819.28	-1454.53
TCGA-12-0616-01	-659.07	125.19	-533.89
TCGA-12-0618-01	-1038.14	-940.09	-1978.23
TCGA-12-0619-01	-58.4	888.23	829.83
TCGA-12-0821-01	-622.45	-689.08	-1311.53
TCGA-12-1597-01	-695.61	-98.3	-793.92
TCGA-12-3650-01	-902.14	-114.3	-1016.44
TCGA-12-3652-01	-1196.44	-509.25	-1705.69
TCGA-12-3653-01	-815.92	270.77	-545.15
TCGA-12-5295-01	-424.65	802.55	377.9
TCGA-12-5299-01	-446.5	228.37	-218.13
TCGA-14-0736-02	357.15	1174.56	1531.71
TCGA-14-0781-01	464.37	810.45	1274.81
TCGA-14-0787-01	-699.19	318.72	-380.47
TCGA-14-0789-01	174.9	1163.11	1338.01
TCGA-14-0790-01	-944.8	-980.16	-1924.95
TCGA-14-0817-01	69.79	1250.61	1320.39
TCGA-14-1034-01	-101.59	732.79	631.2
TCGA-14-1034-02	-1473.99	-1022.22	-2496.21
TCGA-14-1402-02	-509.78	141.82	-367.96
TCGA-14-1823-01	-10.08	1145.51	1135.43
