ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-4P-AA8J-01	461.98	726.71	1188.69
TCGA-BA-4074-01	34.34	203.3	237.64
TCGA-BA-4075-01	-733.7	295.54	-438.16
TCGA-BA-4076-01	-1275.93	-460	-1735.93
TCGA-BA-4077-01	-611.73	1033.25	421.53
TCGA-BA-4078-01	320.33	35.45	355.78
TCGA-BA-5149-01	-534.11	80.98	-453.14
TCGA-BA-5151-01	-33.91	622.89	588.98
TCGA-BA-5152-01	-303.34	1184.97	881.63
TCGA-BA-5153-01	-646.52	1102.22	455.7
TCGA-BA-5555-01	-679.36	102.31	-577.05
TCGA-BA-5556-01	-196.56	1627.85	1431.29
TCGA-BA-5557-01	945.25	1845.13	2790.39
TCGA-BA-5558-01	-106.97	980.66	873.69
TCGA-BA-5559-01	355.27	1893.93	2249.2
TCGA-BA-6868-01	-1011.83	-483.88	-1495.71
TCGA-BA-6869-01	-1426.77	-120.35	-1547.12
TCGA-BA-6870-01	-725.74	597.79	-127.95
TCGA-BA-6871-01	600.56	474.52	1075.07
TCGA-BA-6872-01	-318.03	79.02	-239.02
TCGA-BA-6873-01	-525.71	356.53	-169.17
TCGA-BA-7269-01	-107.59	-92.54	-200.13
TCGA-BA-A4IF-01	-1304.2	-710.49	-2014.69
TCGA-BA-A4IG-01	-1509.02	121.24	-1387.78
TCGA-BA-A4IH-01	-527.26	47.4	-479.87
TCGA-BA-A4II-01	-493.34	207.42	-285.91
TCGA-BA-A6D8-01	-332.55	-42.33	-374.88
TCGA-BA-A6DA-01	-943.88	345.57	-598.31
TCGA-BA-A6DB-01	177.98	1533.84	1711.82
TCGA-BA-A6DD-01	-185.63	824.12	638.5
TCGA-BA-A6DE-01	-1175.29	-262.4	-1437.69
TCGA-BA-A6DG-01	963.51	750.32	1713.83
TCGA-BA-A6DI-01	-1286.78	-276.26	-1563.04
TCGA-BA-A6DJ-01	-633.94	823.49	189.55
TCGA-BA-A6DL-01	-1528.63	-367.22	-1895.85
TCGA-BA-A8YP-01	142.28	-415.55	-273.27
TCGA-BB-4217-01	-490.57	1847.26	1356.69
TCGA-BB-4223-01	-737.96	923.74	185.78
TCGA-BB-4224-01	-1487.36	-339.22	-1826.59
TCGA-BB-4225-01	-901.81	1159.58	257.77
TCGA-BB-4227-01	-1379.68	-465.87	-1845.55
TCGA-BB-4228-01	-450.79	93.9	-356.88
TCGA-BB-7861-01	-311.65	2651.39	2339.74
TCGA-BB-7862-01	-155.61	-162.89	-318.5
TCGA-BB-7863-01	-817.57	-363.47	-1181.04
TCGA-BB-7864-01	-1492.66	-1188.85	-2681.51
TCGA-BB-7866-01	-579.01	884.91	305.9
TCGA-BB-7870-01	-1815.93	-543.88	-2359.81
TCGA-BB-7871-01	277.84	57.61	335.45
TCGA-BB-7872-01	-430.98	531.59	100.61
TCGA-BB-8596-01	894.65	853.77	1748.42
TCGA-BB-8601-01	-1792.22	-1309.57	-3101.79
TCGA-BB-A5HU-01	99.16	72.7	171.87
TCGA-BB-A5HY-01	-1159.21	-420.9	-1580.11
TCGA-BB-A5HZ-01	-563.59	-475.56	-1039.15
TCGA-BB-A6UM-01	-1576.45	566.67	-1009.79
TCGA-BB-A6UO-01	-38.53	154.55	116.02
TCGA-C9-A47Z-01	-1110.78	-201.37	-1312.15
TCGA-C9-A480-01	-1207.59	112.19	-1095.4
TCGA-CN-4722-01	268.49	-46.42	222.07
TCGA-CN-4723-01	-120.41	418.52	298.11
TCGA-CN-4725-01	-831.67	-525.63	-1357.29
TCGA-CN-4726-01	266.8	535.95	802.75
TCGA-CN-4727-01	-718	-618.71	-1336.71
TCGA-CN-4728-01	1646.37	1560.1	3206.47
TCGA-CN-4729-01	-245.26	169.59	-75.67
TCGA-CN-4730-01	-1247.44	-541.86	-1789.3
TCGA-CN-4731-01	-400.15	94.08	-306.07
TCGA-CN-4733-01	1181.24	2370.41	3551.65
TCGA-CN-4734-01	62.4	1186.37	1248.76
TCGA-CN-4735-01	-96	1041.25	945.26
TCGA-CN-4736-01	626.54	1485.4	2111.94
TCGA-CN-4737-01	283.96	33.44	317.4
TCGA-CN-4738-01	-469.57	893.33	423.76
TCGA-CN-4739-01	-607.27	653.94	46.66
TCGA-CN-4740-01	1548.5	1405.75	2954.25
TCGA-CN-4741-01	-932.73	-70.46	-1003.19
TCGA-CN-4742-01	544.31	441.18	985.49
TCGA-CN-5355-01	317.39	-1.38	316.01
TCGA-CN-5356-01	7.99	-64.02	-56.03
TCGA-CN-5358-01	1708.19	2085.99	3794.18
TCGA-CN-5359-01	1199.63	1574.96	2774.6
TCGA-CN-5360-01	311.95	1384.69	1696.64
TCGA-CN-5361-01	681.21	212.09	893.3
TCGA-CN-5363-01	243.35	695.61	938.96
TCGA-CN-5364-01	-282.86	382.78	99.92
TCGA-CN-5365-01	-792.49	655.63	-136.86
TCGA-CN-5366-01	107.34	376.76	484.1
TCGA-CN-5367-01	-358.2	232.65	-125.55
TCGA-CN-5369-01	391.71	1486.06	1877.77
TCGA-CN-5370-01	1224.28	1519.53	2743.8
TCGA-CN-5373-01	570.58	1129.96	1700.54
TCGA-CN-5374-01	-1027.21	1132.86	105.66
TCGA-CN-6010-01	-486.2	-150.34	-636.55
TCGA-CN-6011-01	-716.94	255.49	-461.45
TCGA-CN-6012-01	-331.67	650.53	318.86
TCGA-CN-6013-01	-44.47	1781.3	1736.83
TCGA-CN-6016-01	1188.85	905.1	2093.95
TCGA-CN-6017-01	1173.67	2242.09	3415.76
TCGA-CN-6018-01	467.68	1011.09	1478.77
TCGA-CN-6019-01	1559.83	1462.83	3022.66
TCGA-CN-6020-01	240.81	516.05	756.87
TCGA-CN-6021-01	-733.78	-14.02	-747.81
