ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-A3-3308-01	3813.35	3179.49	6992.84
TCGA-A3-3311-01	3202.42	3395.73	6598.15
TCGA-A3-3316-01	3956.4	3309.83	7266.23
TCGA-A3-3317-01	3504.21	3251.26	6755.47
TCGA-A3-3319-01	2543.16	3341.28	5884.43
TCGA-A3-3320-01	2885.9	2646.89	5532.79
TCGA-A3-3322-01	3490.32	2899.05	6389.37
TCGA-A3-3323-01	3323.71	3517.42	6841.13
TCGA-A3-3324-01	2987.83	3284.62	6272.45
TCGA-A3-3347-01	3986.14	3695.47	7681.61
TCGA-A3-3349-01	3762.79	3087.14	6849.93
TCGA-A3-3351-01	3262.29	3861.05	7123.34
TCGA-A3-3362-01	3499.28	2823.26	6322.54
TCGA-A3-3363-01	2407.61	2599.13	5006.75
TCGA-A3-3372-01	3568.28	3523.43	7091.71
TCGA-A3-3378-01	3233.49	4096.77	7330.26
TCGA-A3-3380-01	3413.65	3019.23	6432.88
TCGA-A3-3382-01	2856.14	3057.58	5913.72
TCGA-AK-3455-01	2827.37	3530.04	6357.42
TCGA-AK-3456-01	2098.77	2238.55	4337.32
TCGA-B2-3924-01	2832.43	3771.42	6603.85
TCGA-B2-4098-01	2424.76	3121.7	5546.46
TCGA-B2-4099-01	3080.24	3434.04	6514.28
TCGA-B2-4102-01	3055.55	3618.77	6674.31
TCGA-B8-4143-01	3342.04	3865.27	7207.31
TCGA-B8-4148-01	2815.41	1886.33	4701.74
TCGA-B8-4151-01	2776.59	2386.17	5162.76
TCGA-B8-4154-01	3070.55	3154.07	6224.63
TCGA-B8-4620-01	3650.74	3250.85	6901.59
TCGA-BP-4161-01	3081.13	3744.25	6825.37
TCGA-BP-4162-01	3208.87	3945.18	7154.05
TCGA-BP-4163-01	3241.75	3345.87	6587.62
TCGA-BP-4164-01	2652.96	2756.55	5409.52
TCGA-BP-4167-01	3799.2	3719.33	7518.53
TCGA-CJ-4634-01	3794.81	3076.06	6870.87
TCGA-CJ-4637-01	3516.62	4326.06	7842.68
TCGA-CJ-4638-01	2486.85	2220.32	4707.17
TCGA-CJ-4639-01	3051.59	3500.6	6552.19
TCGA-CJ-4640-01	3331.4	3850.02	7181.43
TCGA-CJ-4641-01	3578.9	4061.05	7639.95
TCGA-CJ-4643-01	3276.53	3409.44	6685.98
TCGA-CJ-4644-01	3093.64	3399.75	6493.39
